"","ADM4_EN","ADM2_EN","ADM3_EN","X","ID","WEEK","CASE","DATE","geo"
"1","Baciro","Kota Yogyakarta","Gondokusuman",486,10,46,0,"2015-11-16","Kota Yogyakarta-Gondokusuman-Baciro"
"2","Baciro","Kota Yogyakarta","Gondokusuman",487,10,52,0,"2015-12-28","Kota Yogyakarta-Gondokusuman-Baciro"
"3","Baciro","Kota Yogyakarta","Gondokusuman",488,10,17,1,"2015-04-27","Kota Yogyakarta-Gondokusuman-Baciro"
"4","Baciro","Kota Yogyakarta","Gondokusuman",489,10,35,0,"2015-08-31","Kota Yogyakarta-Gondokusuman-Baciro"
"5","Baciro","Kota Yogyakarta","Gondokusuman",490,10,47,0,"2015-11-23","Kota Yogyakarta-Gondokusuman-Baciro"
"6","Baciro","Kota Yogyakarta","Gondokusuman",491,10,38,0,"2015-09-21","Kota Yogyakarta-Gondokusuman-Baciro"
"7","Baciro","Kota Yogyakarta","Gondokusuman",492,10,50,0,"2015-12-14","Kota Yogyakarta-Gondokusuman-Baciro"
"8","Baciro","Kota Yogyakarta","Gondokusuman",493,10,7,4,"2015-02-16","Kota Yogyakarta-Gondokusuman-Baciro"
"9","Baciro","Kota Yogyakarta","Gondokusuman",494,10,36,1,"2015-09-07","Kota Yogyakarta-Gondokusuman-Baciro"
"10","Baciro","Kota Yogyakarta","Gondokusuman",495,10,27,0,"2015-07-06","Kota Yogyakarta-Gondokusuman-Baciro"
"11","Baciro","Kota Yogyakarta","Gondokusuman",496,10,33,0,"2015-08-17","Kota Yogyakarta-Gondokusuman-Baciro"
"12","Baciro","Kota Yogyakarta","Gondokusuman",497,10,34,0,"2015-08-24","Kota Yogyakarta-Gondokusuman-Baciro"
"13","Baciro","Kota Yogyakarta","Gondokusuman",498,10,2,0,"2015-01-12","Kota Yogyakarta-Gondokusuman-Baciro"
"14","Baciro","Kota Yogyakarta","Gondokusuman",499,10,37,0,"2015-09-14","Kota Yogyakarta-Gondokusuman-Baciro"
"15","Baciro","Kota Yogyakarta","Gondokusuman",500,10,40,0,"2015-10-05","Kota Yogyakarta-Gondokusuman-Baciro"
"16","Baciro","Kota Yogyakarta","Gondokusuman",501,10,25,2,"2015-06-22","Kota Yogyakarta-Gondokusuman-Baciro"
"17","Baciro","Kota Yogyakarta","Gondokusuman",502,10,20,1,"2015-05-18","Kota Yogyakarta-Gondokusuman-Baciro"
"18","Baciro","Kota Yogyakarta","Gondokusuman",503,10,26,1,"2015-06-29","Kota Yogyakarta-Gondokusuman-Baciro"
"19","Baciro","Kota Yogyakarta","Gondokusuman",504,10,6,2,"2015-02-09","Kota Yogyakarta-Gondokusuman-Baciro"
"20","Baciro","Kota Yogyakarta","Gondokusuman",505,10,29,0,"2015-07-20","Kota Yogyakarta-Gondokusuman-Baciro"
"21","Baciro","Kota Yogyakarta","Gondokusuman",506,10,1,1,"2015-01-05","Kota Yogyakarta-Gondokusuman-Baciro"
"22","Baciro","Kota Yogyakarta","Gondokusuman",507,10,4,1,"2015-01-26","Kota Yogyakarta-Gondokusuman-Baciro"
"23","Baciro","Kota Yogyakarta","Gondokusuman",508,10,21,0,"2015-05-25","Kota Yogyakarta-Gondokusuman-Baciro"
"24","Baciro","Kota Yogyakarta","Gondokusuman",509,10,30,0,"2015-07-27","Kota Yogyakarta-Gondokusuman-Baciro"
"25","Baciro","Kota Yogyakarta","Gondokusuman",510,10,24,0,"2015-06-15","Kota Yogyakarta-Gondokusuman-Baciro"
