"","ID","ADM4_EN","WEEK","CASE","DATE"
"1",1,"Mulyodadi",1,0,2010-01-04
"2",1,"Mulyodadi",35,0,2010-08-30
"3",1,"Mulyodadi",19,0,2010-05-10
"4",1,"Mulyodadi",21,0,2010-05-24
"5",1,"Mulyodadi",48,0,2010-11-29
"6",1,"Mulyodadi",14,0,2010-04-05
"7",1,"Mulyodadi",7,0,2010-02-15
"8",1,"Mulyodadi",34,0,2010-08-23
"9",1,"Mulyodadi",27,0,2010-07-05
"10",1,"Mulyodadi",11,0,2010-03-15
"11",1,"Mulyodadi",47,0,2010-11-22
"12",1,"Mulyodadi",6,1,2010-02-08
"13",1,"Mulyodadi",40,0,2010-10-04
"14",1,"Mulyodadi",33,0,2010-08-16
"15",1,"Mulyodadi",26,1,2010-06-28
"16",1,"Mulyodadi",51,0,2010-12-20
"17",1,"Mulyodadi",46,0,2010-11-15
"18",1,"Mulyodadi",12,0,2010-03-22
"19",1,"Mulyodadi",32,0,2010-08-09
"20",1,"Mulyodadi",39,0,2010-09-27
"21",1,"Mulyodadi",50,0,2010-12-13
"22",1,"Mulyodadi",45,0,2010-11-08
"23",1,"Mulyodadi",2,0,2010-01-11
"24",1,"Mulyodadi",36,0,2010-09-06
"25",1,"Mulyodadi",31,0,2010-08-02
"26",1,"Mulyodadi",38,0,2010-09-20
"27",1,"Mulyodadi",24,0,2010-06-14
"28",1,"Mulyodadi",17,0,2010-04-26
"29",1,"Mulyodadi",42,0,2010-10-18
"30",1,"Mulyodadi",3,0,2010-01-18
"31",1,"Mulyodadi",37,0,2010-09-13
"32",1,"Mulyodadi",44,0,2010-11-01
"33",1,"Mulyodadi",16,0,2010-04-19
"34",1,"Mulyodadi",23,0,2010-06-07
"35",1,"Mulyodadi",41,0,2010-10-11
"36",1,"Mulyodadi",18,1,2010-05-03
"37",1,"Mulyodadi",52,0,2010-12-27
"38",1,"Mulyodadi",29,0,2010-07-19
"39",1,"Mulyodadi",22,1,2010-05-31
"40",1,"Mulyodadi",49,0,2010-12-06
"41",1,"Mulyodadi",8,2,2010-02-22
"42",1,"Mulyodadi",15,1,2010-04-12
"43",1,"Mulyodadi",20,1,2010-05-17
"44",1,"Mulyodadi",28,0,2010-07-12
"45",1,"Mulyodadi",10,0,2010-03-08
"46",1,"Mulyodadi",5,0,2010-02-01
"47",1,"Mulyodadi",25,1,2010-06-21
"48",1,"Mulyodadi",30,0,2010-07-26
"49",1,"Mulyodadi",4,1,2010-01-25
"50",1,"Mulyodadi",9,0,2010-03-01
"51",1,"Mulyodadi",13,0,2010-03-29
"52",1,"Mulyodadi",43,0,2010-10-25
"53",2,"Sidomulyo",42,0,2010-10-18
"54",2,"Sidomulyo",37,0,2010-09-13
"55",2,"Sidomulyo",40,0,2010-10-04
"56",2,"Sidomulyo",39,0,2010-09-27
"57",2,"Sidomulyo",27,0,2010-07-05
"58",2,"Sidomulyo",21,0,2010-05-24
"59",2,"Sidomulyo",35,1,2010-08-30
"60",2,"Sidomulyo",26,0,2010-06-28
"61",2,"Sidomulyo",13,0,2010-03-29
"62",2,"Sidomulyo",34,0,2010-08-23
"63",2,"Sidomulyo",44,0,2010-11-01
"64",2,"Sidomulyo",14,0,2010-04-05
"65",2,"Sidomulyo",50,0,2010-12-13
"66",2,"Sidomulyo",31,0,2010-08-02
"67",2,"Sidomulyo",38,0,2010-09-20
"68",2,"Sidomulyo",33,0,2010-08-16
"69",2,"Sidomulyo",15,0,2010-04-12
"70",2,"Sidomulyo",19,1,2010-05-10
"71",2,"Sidomulyo",51,0,2010-12-20
"72",2,"Sidomulyo",28,0,2010-07-12
"73",2,"Sidomulyo",32,0,2010-08-09
"74",2,"Sidomulyo",5,0,2010-02-01
"75",2,"Sidomulyo",16,1,2010-04-19
"76",2,"Sidomulyo",11,0,2010-03-15
"77",2,"Sidomulyo",52,0,2010-12-27
"78",2,"Sidomulyo",36,0,2010-09-06
"79",2,"Sidomulyo",29,0,2010-07-19
"80",2,"Sidomulyo",22,0,2010-05-31
"81",2,"Sidomulyo",24,1,2010-06-14
"82",2,"Sidomulyo",47,0,2010-11-22
"83",2,"Sidomulyo",1,0,2010-01-04
"84",2,"Sidomulyo",8,0,2010-02-22
"85",2,"Sidomulyo",17,0,2010-04-26
"86",2,"Sidomulyo",12,0,2010-03-22
"87",2,"Sidomulyo",23,0,2010-06-07
"88",2,"Sidomulyo",48,0,2010-11-29
"89",2,"Sidomulyo",41,0,2010-10-11
"90",2,"Sidomulyo",25,1,2010-06-21
"91",2,"Sidomulyo",18,0,2010-05-03
"92",2,"Sidomulyo",20,0,2010-05-17
"93",2,"Sidomulyo",2,1,2010-01-11
"94",2,"Sidomulyo",6,0,2010-02-08
"95",2,"Sidomulyo",3,1,2010-01-18
"96",2,"Sidomulyo",46,1,2010-11-15
"97",2,"Sidomulyo",30,0,2010-07-26
"98",2,"Sidomulyo",49,0,2010-12-06
"99",2,"Sidomulyo",7,1,2010-02-15
"100",2,"Sidomulyo",9,0,2010-03-01
"101",2,"Sidomulyo",45,0,2010-11-08
"102",2,"Sidomulyo",43,0,2010-10-25
"103",2,"Sidomulyo",4,0,2010-01-25
"104",2,"Sidomulyo",10,2,2010-03-08
"105",3,"Sumbermulyo",33,0,2010-08-16
"106",3,"Sumbermulyo",34,0,2010-08-23
"107",3,"Sumbermulyo",24,0,2010-06-14
"108",3,"Sumbermulyo",27,0,2010-07-05
"109",3,"Sumbermulyo",19,0,2010-05-10
"110",3,"Sumbermulyo",20,1,2010-05-17
"111",3,"Sumbermulyo",21,0,2010-05-24
"112",3,"Sumbermulyo",40,0,2010-10-04
"113",3,"Sumbermulyo",38,0,2010-09-20
"114",3,"Sumbermulyo",35,1,2010-08-30
"115",3,"Sumbermulyo",23,0,2010-06-07
"116",3,"Sumbermulyo",28,0,2010-07-12
"117",3,"Sumbermulyo",7,0,2010-02-15
"118",3,"Sumbermulyo",32,0,2010-08-09
"119",3,"Sumbermulyo",45,0,2010-11-08
"120",3,"Sumbermulyo",41,2,2010-10-11
"121",3,"Sumbermulyo",4,2,2010-01-25
"122",3,"Sumbermulyo",6,1,2010-02-08
"123",3,"Sumbermulyo",26,1,2010-06-28
"124",3,"Sumbermulyo",51,1,2010-12-20
"125",3,"Sumbermulyo",42,1,2010-10-18
"126",3,"Sumbermulyo",49,0,2010-12-06
"127",3,"Sumbermulyo",12,0,2010-03-22
"128",3,"Sumbermulyo",14,0,2010-04-05
"129",3,"Sumbermulyo",50,0,2010-12-13
"130",3,"Sumbermulyo",39,0,2010-09-27
"131",3,"Sumbermulyo",25,0,2010-06-21
"132",3,"Sumbermulyo",36,1,2010-09-06
"133",3,"Sumbermulyo",29,0,2010-07-19
"134",3,"Sumbermulyo",22,0,2010-05-31
"135",3,"Sumbermulyo",13,2,2010-03-29
"136",3,"Sumbermulyo",47,1,2010-11-22
"137",3,"Sumbermulyo",1,0,2010-01-04
"138",3,"Sumbermulyo",17,0,2010-04-26
"139",3,"Sumbermulyo",16,0,2010-04-19
"140",3,"Sumbermulyo",3,0,2010-01-18
"141",3,"Sumbermulyo",46,0,2010-11-15
"142",3,"Sumbermulyo",5,1,2010-02-01
"143",3,"Sumbermulyo",31,1,2010-08-02
"144",3,"Sumbermulyo",48,0,2010-11-29
"145",3,"Sumbermulyo",11,1,2010-03-15
"146",3,"Sumbermulyo",52,0,2010-12-27
"147",3,"Sumbermulyo",8,1,2010-02-22
"148",3,"Sumbermulyo",43,0,2010-10-25
"149",3,"Sumbermulyo",9,0,2010-03-01
"150",3,"Sumbermulyo",37,0,2010-09-13
"151",3,"Sumbermulyo",30,0,2010-07-26
"152",3,"Sumbermulyo",15,0,2010-04-12
"153",3,"Sumbermulyo",2,0,2010-01-11
"154",3,"Sumbermulyo",44,0,2010-11-01
"155",3,"Sumbermulyo",10,0,2010-03-08
"156",3,"Sumbermulyo",18,0,2010-05-03
"157",4,"Tamanan",6,1,2010-02-08
"158",4,"Tamanan",26,0,2010-06-28
"159",4,"Tamanan",42,0,2010-10-18
"160",4,"Tamanan",34,0,2010-08-23
"161",4,"Tamanan",16,0,2010-04-19
"162",4,"Tamanan",29,3,2010-07-19
"163",4,"Tamanan",21,0,2010-05-24
"164",4,"Tamanan",7,0,2010-02-15
"165",4,"Tamanan",31,1,2010-08-02
"166",4,"Tamanan",51,0,2010-12-20
"167",4,"Tamanan",40,0,2010-10-04
"168",4,"Tamanan",22,2,2010-05-31
"169",4,"Tamanan",1,0,2010-01-04
"170",4,"Tamanan",14,0,2010-04-05
"171",4,"Tamanan",48,0,2010-11-29
"172",4,"Tamanan",35,2,2010-08-30
"173",4,"Tamanan",50,0,2010-12-13
"174",4,"Tamanan",36,1,2010-09-06
