"","ID","ADM4_EN","WEEK","CASE","DATE"
"1",1,"Bausasran",1,0,2011-01-03
"2",1,"Bausasran",10,0,2011-03-07
"3",1,"Bausasran",28,0,2011-07-11
"4",1,"Bausasran",37,0,2011-09-12
"5",1,"Bausasran",46,0,2011-11-14
"6",1,"Bausasran",2,0,2011-01-10
"7",1,"Bausasran",20,0,2011-05-16
"8",1,"Bausasran",29,0,2011-07-18
"9",1,"Bausasran",47,0,2011-11-21
"10",1,"Bausasran",41,0,2011-10-10
"11",1,"Bausasran",12,0,2011-03-21
"12",1,"Bausasran",21,0,2011-05-23
"13",1,"Bausasran",39,0,2011-09-26
"14",1,"Bausasran",48,0,2011-11-28
"15",1,"Bausasran",4,0,2011-01-24
"16",1,"Bausasran",13,0,2011-03-28
"17",1,"Bausasran",31,0,2011-08-01
"18",1,"Bausasran",40,0,2011-10-03
"19",1,"Bausasran",49,0,2011-12-05
"20",1,"Bausasran",5,0,2011-01-31
"21",1,"Bausasran",23,0,2011-06-06
"22",1,"Bausasran",50,0,2011-12-12
"23",1,"Bausasran",44,0,2011-10-31
"24",1,"Bausasran",33,0,2011-08-15
"25",1,"Bausasran",15,0,2011-04-11
"26",1,"Bausasran",42,0,2011-10-17
"27",1,"Bausasran",51,0,2011-12-19
"28",1,"Bausasran",52,0,2011-12-26
"29",1,"Bausasran",7,0,2011-02-14
"30",1,"Bausasran",34,0,2011-08-22
"31",1,"Bausasran",43,0,2011-10-24
"32",1,"Bausasran",38,0,2011-09-19
"33",1,"Bausasran",36,0,2011-09-05
"34",1,"Bausasran",26,0,2011-06-27
"35",1,"Bausasran",35,0,2011-08-29
"36",1,"Bausasran",45,0,2011-11-07
"37",1,"Bausasran",25,0,2011-06-20
"38",1,"Bausasran",18,0,2011-05-02
"39",1,"Bausasran",27,0,2011-07-04
"40",1,"Bausasran",22,0,2011-05-30
"41",1,"Bausasran",32,0,2011-08-08
"42",1,"Bausasran",17,0,2011-04-25
"43",1,"Bausasran",19,0,2011-05-09
"44",1,"Bausasran",14,0,2011-04-04
"45",1,"Bausasran",30,0,2011-07-25
"46",1,"Bausasran",24,0,2011-06-13
"47",1,"Bausasran",11,0,2011-03-14
"48",1,"Bausasran",6,0,2011-02-07
"49",1,"Bausasran",16,0,2011-04-18
"50",1,"Bausasran",3,0,2011-01-17
"51",1,"Bausasran",8,0,2011-02-21
"52",1,"Bausasran",9,0,2011-02-28
"53",2,"Tegalpanggung",1,0,2011-01-03
"54",2,"Tegalpanggung",41,0,2011-10-10
"55",2,"Tegalpanggung",46,0,2011-11-14
"56",2,"Tegalpanggung",4,0,2011-01-24
"57",2,"Tegalpanggung",52,0,2011-12-26
"58",2,"Tegalpanggung",38,0,2011-09-19
"59",2,"Tegalpanggung",48,0,2011-11-28
"60",2,"Tegalpanggung",49,0,2011-12-05
"61",2,"Tegalpanggung",44,0,2011-10-31
"62",2,"Tegalpanggung",51,0,2011-12-19
"63",2,"Tegalpanggung",40,0,2011-10-03
"64",2,"Tegalpanggung",17,0,2011-04-25
"65",2,"Tegalpanggung",12,1,2011-03-21
"66",2,"Tegalpanggung",37,0,2011-09-12
"67",2,"Tegalpanggung",50,0,2011-12-12
"68",2,"Tegalpanggung",33,0,2011-08-15
"69",2,"Tegalpanggung",24,0,2011-06-13
"70",2,"Tegalpanggung",28,0,2011-07-11
"71",2,"Tegalpanggung",45,0,2011-11-07
"72",2,"Tegalpanggung",43,0,2011-10-24
"73",2,"Tegalpanggung",25,0,2011-06-20
"74",2,"Tegalpanggung",20,0,2011-05-16
"75",2,"Tegalpanggung",31,0,2011-08-01
"76",2,"Tegalpanggung",35,0,2011-08-29
"77",2,"Tegalpanggung",32,0,2011-08-08
"78",2,"Tegalpanggung",23,0,2011-06-06
"79",2,"Tegalpanggung",47,0,2011-11-21
"80",2,"Tegalpanggung",39,0,2011-09-26
"81",2,"Tegalpanggung",36,0,2011-09-05
"82",2,"Tegalpanggung",9,0,2011-02-28
"83",2,"Tegalpanggung",10,0,2011-03-07
"84",2,"Tegalpanggung",19,0,2011-05-09
"85",2,"Tegalpanggung",22,0,2011-05-30
"86",2,"Tegalpanggung",16,0,2011-04-18
"87",2,"Tegalpanggung",2,1,2011-01-10
"88",2,"Tegalpanggung",11,1,2011-03-14
"89",2,"Tegalpanggung",29,0,2011-07-18
"90",2,"Tegalpanggung",8,0,2011-02-21
"91",2,"Tegalpanggung",15,1,2011-04-11
"92",2,"Tegalpanggung",3,0,2011-01-17
"93",2,"Tegalpanggung",21,0,2011-05-23
"94",2,"Tegalpanggung",30,0,2011-07-25
"95",2,"Tegalpanggung",7,0,2011-02-14
"96",2,"Tegalpanggung",27,1,2011-07-04
"97",2,"Tegalpanggung",13,0,2011-03-28
"98",2,"Tegalpanggung",34,0,2011-08-22
"99",2,"Tegalpanggung",42,0,2011-10-17
"100",2,"Tegalpanggung",5,0,2011-01-31
"101",2,"Tegalpanggung",14,1,2011-04-04
"102",2,"Tegalpanggung",26,0,2011-06-27
"103",2,"Tegalpanggung",6,0,2011-02-07
"104",2,"Tegalpanggung",18,0,2011-05-02
"105",3,"Suryatmajan",39,0,2011-09-26
"106",3,"Suryatmajan",22,0,2011-05-30
"107",3,"Suryatmajan",17,0,2011-04-25
"108",3,"Suryatmajan",32,0,2011-08-08
"109",3,"Suryatmajan",33,0,2011-08-15
"110",3,"Suryatmajan",45,0,2011-11-07
"111",3,"Suryatmajan",44,0,2011-10-31
"112",3,"Suryatmajan",51,0,2011-12-19
"113",3,"Suryatmajan",43,0,2011-10-24
"114",3,"Suryatmajan",52,0,2011-12-26
"115",3,"Suryatmajan",50,0,2011-12-12
"116",3,"Suryatmajan",19,1,2011-05-09
"117",3,"Suryatmajan",35,0,2011-08-29
"118",3,"Suryatmajan",23,0,2011-06-06
