"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Mulyodadi",2,3,4,10791,0.04,1.5,0.000185339634880919
"2","Sidomulyo",2,2,2,12511,0.0266666666666667,1,7.99296618975302e-05
"3","Sumbermulyo",5,6,7,14619,0.08,1.2,9.57657842533689e-05
"4","Tamanan",10,14,18,15088,0.186666666666667,1.4,0.000119300106044539
"5","Jagalan",5,5,6,3825,0.0666666666666667,1,0.000313725490196078
"6","Singosaren",4,9,10,5030,0.12,2.25,0.000497017892644135
"7","Wirokerten",10,19,29,15363,0.253333333333333,1.9,0.000188765215127254
"8","Jambidan",9,12,14,10292,0.16,1.33333333333333,0.000151142203221488
"9","Potorono",10,16,20,14382,0.213333333333333,1.6,0.000139062717285496
"10","Baturetno",9,16,26,19341,0.213333333333333,1.77777777777778,0.000149366055989292
"11","Banguntapan",13,32,75,48263,0.426666666666667,2.46153846153846,0.000119537342668934
"12","Bantul",11,12,18,16126,0.16,1.09090909090909,0.000101473622495575
"13","Ringinharjo",4,4,6,7987,0.0533333333333333,1,0.000187805183423062
"14","Palbapang",8,10,13,13139,0.133333333333333,1.25,0.000123677601035086
"15","Trirenggo",13,18,25,17337,0.24,1.38461538461538,0.000110923281021914
"16","Sabdodadi",10,12,16,6755,0.16,1.2,0.000236861584011843
"17","Dlingo",1,1,1,5410,0.0133333333333333,1,0.000184842883548983
"18","Jatimulyo",2,3,3,6344,0.04,1.5,0.000236443883984868
"19","Mangunan",0,0,0,4556,0,NA,NA
"20","Muntuk",0,0,0,7924,0,NA,NA
"21","Temuwuh",3,3,3,6732,0.04,1,0.000148544266191325
"22","Terong",2,2,2,5199,0.0266666666666667,1,0.000192344681669552
"23","Girirejo",3,3,3,4373,0.04,1,0.000228675966155957
"24","Imogiri",6,8,9,3814,0.106666666666667,1.33333333333333,0.000393287886733089
"25","Karangtengah",3,3,4,4687,0.04,1,0.000284474788421876
"26","Karangtalun",3,3,3,2926,0.04,1,0.000341763499658237
"27","Kebonagung",3,5,8,3502,0.0666666666666667,1.66666666666667,0.000761469636398249
"28","Selopamioro",8,11,11,13614,0.146666666666667,1.375,0.000100998971646834
"29","Sriharjo",6,7,8,8669,0.0933333333333333,1.16666666666667,0.000153804744876379
"30","Wukirsari",12,13,14,15949,0.173333333333333,1.08333333333333,7.3149831755387e-05
"31","Canden",10,11,12,10790,0.146666666666667,1.1,0.000111214087117702
"32","Patalan",13,18,24,11279,0.24,1.38461538461538,0.000163680631807239
"33","Sumberagung",12,17,23,14147,0.226666666666667,1.41666666666667,0.000135482198817181
"34","Trimulyo",9,16,26,17376,0.213333333333333,1.77777777777778,0.000166257417638633
"35","Tirtonirmolo",17,34,82,25697,0.453333333333333,2,0.000187707880755135
"36","Ngestiharjo",15,34,81,38987,0.453333333333333,2.26666666666667,0.000138507707697438
"37","Tamantirto",12,28,51,27654,0.373333333333333,2.33333333333333,0.000153684819555941
"38","Bangunjiwo",12,19,26,26933,0.253333333333333,1.58333333333333,8.04465401799527e-05
"39","Donotirto",7,10,13,8150,0.133333333333333,1.42857142857143,0.000227870289219982
"40","Parangtritis",3,4,4,8220,0.0533333333333333,1.33333333333333,0.00016220600162206
"41","Tirtohargo",0,0,0,2821,0,NA,NA
"42","Tirtomulyo",1,1,1,6589,0.0133333333333333,1,0.000151768098345728
"43","Tirtosari",1,1,2,4049,0.0133333333333333,1,0.000493949123240306
"44","Guwosari",6,7,10,12612,0.0933333333333333,1.16666666666667,0.000132149275821969
"45","Sendangsari",7,8,9,11488,0.106666666666667,1.14285714285714,0.00011191802626343
"46","Triwidadi",1,1,1,10367,0.0133333333333333,1,9.64599209028649e-05
"47","Caturharjo",9,11,14,10842,0.146666666666667,1.22222222222222,0.000143474963618848
"48","Gilangharjo",7,8,8,14916,0.106666666666667,1.14285714285714,7.66195456460943e-05
"49","Triharjo",2,3,3,12195,0.04,1.5,0.0001230012300123
"50","Wijirejo",5,7,10,10605,0.0933333333333333,1.4,0.000188590287600189
"51","Sitimulyo",7,18,25,18739,0.24,2.57142857142857,0.000190588002104092
"52","Srimartani",11,28,48,16515,0.373333333333333,2.54545454545455,0.000264222607546858
"53","Srimulyo",11,18,25,16902,0.24,1.63636363636364,0.000134464990695023
"54","Bawuran",3,4,5,5885,0.0533333333333333,1.33333333333333,0.000283205890682526
"55","Pleret",5,7,9,12551,0.0933333333333333,1.4,0.000143414867341248
"56","Segoroyoso",6,7,8,8305,0.0933333333333333,1.16666666666667,0.000160545855910094
"57","Wonokromo",8,15,17,14021,0.2,1.875,0.000151558376720633
"58","Wonolelo",1,1,1,4554,0.0133333333333333,1,0.000219587176108915
"59","Panjangrejo",3,4,6,8845,0.0533333333333333,1.33333333333333,0.000226116449971735
"60","Seloharjo",1,1,1,10409,0.0133333333333333,1,9.60707080411183e-05
"61","Srihardono",12,14,15,12843,0.186666666666667,1.16666666666667,9.73292844351008e-05
"62","Gadingharjo",1,1,1,3469,0.0133333333333333,1,0.000288267512251369
"63","Gadingsari",3,4,5,9384,0.0533333333333333,1.33333333333333,0.000177607274793976
"64","Murtigading",3,3,3,7853,0.04,1,0.000127339870113332
"65","Srigading",3,4,4,9233,0.0533333333333333,1.33333333333333,0.000144409545470956
"66","Argodadi",2,4,4,10797,0.0533333333333333,2,0.000185236639807354
"67","Argomulyo",10,14,20,14082,0.186666666666667,1.4,0.000142025280499929
"68","Argorejo",5,7,10,12725,0.0933333333333333,1.4,0.000157170923379175
"69","Argosari",6,6,7,8348,0.08,1,0.000139754032902092
"70","Pendowoharjo",13,19,23,23694,0.253333333333333,1.46153846153846,7.46699911045315e-05
"71","Timbulharjo",15,26,37,22073,0.346666666666667,1.73333333333333,0.000111750403962609
"72","Bangunharjo",14,29,66,30123,0.386666666666667,2.07142857142857,0.000156501202213781
"73","Panggungharjo",12,32,94,34465,0.426666666666667,2.66666666666667,0.000227283717781324
"74","Poncosari",5,6,8,12098,0.08,1.2,0.00013225326500248
"75","Trimurti",6,7,9,16837,0.0933333333333333,1.16666666666667,8.90895052562808e-05
