"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Wonokerto",0,0,0,9443,0,NA,NA
"2","Girikerto",0,0,0,7601,0,NA,NA
"3","Donokerto",0,0,0,8604,0,NA,NA
"4","Bangunkerto",1,2,2,8537,0.0232558139534884,2,0.000234274335246574
"5","Sumbersari",1,1,1,7793,0.0116279069767442,1,0.000128320287437444
"6","Sumberrahayu",0,0,0,6238,0,NA,NA
"7","Sumberarum",1,1,2,6787,0.0116279069767442,1,0.000294681007809047
"8","Sumberagung",0,0,0,11075,0,NA,NA
"9","Margomulyo",0,0,0,11726,0,NA,NA
"10","Margoluwih",0,0,0,9614,0,NA,NA
"11","Margokaton",0,0,0,7182,0,NA,NA
"12","Margodadi",0,0,0,8395,0,NA,NA
"13","Margoagung",0,1,1,9607,0.0116279069767442,Inf,Inf
"14","Triharjo",2,3,3,16700,0.0348837209302326,1.5,8.98203592814371e-05
"15","Tridadi",4,4,8,14381,0.0465116279069767,1,0.000139072387177526
"16","Trimulyo",0,0,0,8834,0,NA,NA
"17","Pandowoharjo",3,3,3,11118,0.0348837209302326,1,8.99442345745638e-05
"18","Caturharjo",0,0,0,13782,0,NA,NA
"19","Widodomartani",1,1,2,7399,0.0116279069767442,1,0.000270306798215975
"20","Wedomartani",2,3,4,27761,0.0348837209302326,1.5,7.20435142826267e-05
"21","Umbulmartani",0,0,0,11567,0,NA,NA
"22","Sindumartani",0,0,0,7253,0,NA,NA
"23","Bimomartani",0,0,0,6901,0,NA,NA
"24","Sukoharjo",2,2,2,15487,0.0232558139534884,1,6.45702847549558e-05
"25","Sinduharjo",2,3,4,19797,0.0348837209302326,1.5,0.000101025407890084
"26","Sariharjo",2,3,3,24686,0.0348837209302326,1.5,6.07631856112777e-05
"27","Sardonoharjo",4,4,4,22213,0.0465116279069767,1,4.50186827533426e-05
"28","Minomartani",2,2,3,13397,0.0232558139534884,1,0.000111965365380309
"29","Donoharjo",1,1,1,9646,0.0116279069767442,1,0.00010366991499067
"30","Sidorejo",0,0,0,6548,0,NA,NA
"31","Sidomulyo",3,3,5,6071,0.0348837209302326,1,0.000274529182452095
"32","Sidomoyo",0,0,0,7830,0,NA,NA
"33","Sidoluhur",6,10,15,9776,0.116279069767442,1.66666666666667,0.000255728314238953
"34","Sidokarto",3,5,6,11513,0.0581395348837209,1.66666666666667,0.000173716668114306
"35","Sidoarum",1,3,4,17524,0.0348837209302326,3,0.000228258388495777
"36","Sidoagung",7,12,17,8786,0.13953488372093,1.71428571428571,0.000276413775161783
"37","Tambakrejo",0,0,0,4669,0,NA,NA
"38","Sumberrejo",0,0,0,4356,0,NA,NA
"39","Pondokrejo",0,0,0,5710,0,NA,NA
"40","Mororejo",0,0,0,4840,0,NA,NA
"41","Merdikorejo",0,0,0,6211,0,NA,NA
"42","Margorejo",0,0,0,10403,0,NA,NA
"43","Lumbungrejo",0,0,0,7481,0,NA,NA
"44","Banyurejo",0,0,0,7256,0,NA,NA
"45","Tirtomartani",2,2,2,16247,0.0232558139534884,1,6.15498245829999e-05
"46","Tamanmartani",2,6,10,15090,0.0697674418604651,3,0.000331345261762757
"47","Selomartani",1,3,5,11848,0.0348837209302326,3,0.000422012153950034
"48","Purwomartani",7,8,10,35467,0.0930232558139535,1.14285714285714,4.02788910415718e-05
"49","Tegaltirto",2,2,2,11763,0.0232558139534884,1,8.50123267873842e-05
"50","Sendangtirto",3,3,3,17767,0.0348837209302326,1,5.62841222491135e-05
"51","Kalitirto",1,1,1,12808,0.0116279069767442,1,7.80762023735165e-05
"52","Jogotirto",1,1,1,10110,0.0116279069767442,1,9.89119683481701e-05
"53","Tlogoadi",0,0,0,12273,0,NA,NA
"54","Tirtoadi",0,0,0,9632,0,NA,NA
"55","Sumberadi",0,0,0,14884,0,NA,NA
"56","Sinduadi",9,13,15,49455,0.151162790697674,1.44444444444444,3.37006706433458e-05
"57","Sendangadi",3,3,3,18107,0.0348837209302326,1,5.52272601756227e-05
"58","Wukirsari",1,1,1,10100,0.0116279069767442,1,9.9009900990099e-05
"59","Umbulharjo",0,0,0,4876,0,NA,NA
"60","Kepuhharjo",2,2,2,3188,0.0232558139534884,1,0.000313676286072773
"61","Glagahharjo",1,2,3,3754,0.0232558139534884,2,0.00079914757591902
"62","Argomulyo",0,0,0,7205,0,NA,NA
"63","Sendangsari",0,0,0,4682,0,NA,NA
"64","Sendangagung",1,1,1,7544,0.0116279069767442,1,0.000132555673382821
"65","Sendangrejo",3,3,3,8123,0.0348837209302326,1,0.000123107226394189
"66","Sendangmulyo",0,0,0,6397,0,NA,NA
"67","Sendangarum",0,0,0,3471,0,NA,NA
"68","Wukirharjo",0,0,0,2480,0,NA,NA
"69","Sumberharjo",2,2,2,13003,0.0232558139534884,1,7.69053295393371e-05
"70","Sambirejo",0,0,0,5263,0,NA,NA
"71","Madurejo",3,4,5,12051,0.0465116279069767,1.33333333333333,0.000138301109174896
"72","Gayamharjo",0,0,0,4100,0,NA,NA
"73","Bokoharjo",2,2,2,11492,0.0232558139534884,1,8.70170553428472e-05
"74","Trihanggo",3,8,12,18442,0.0930232558139535,2.66666666666667,0.000216896215161045
"75","Nogotirto",8,9,14,19763,0.104651162790698,1.125,8.85493093153873e-05
"76","Banyuraden",9,12,14,18805,0.13953488372093,1.33333333333333,8.27203167006411e-05
"77","Balecatur",5,7,8,20261,0.0813953488372093,1.4,7.89694486945363e-05
"78","Ambarketawang",5,7,12,22724,0.0813953488372093,1.4,0.000105615208590037
"79","Purwobinangun",0,0,0,8859,0,NA,NA
"80","Pakembinangun",1,1,1,6864,0.0116279069767442,1,0.000145687645687646
"81","Harjobinangun",0,0,0,5651,0,NA,NA
"82","Hargobinangun",0,0,0,8560,0,NA,NA
"83","Candibinangun",1,1,1,5868,0.0116279069767442,1,0.000170415814587594
"84","Maguwoharjo",1,2,2,39987,0.0232558139534884,2,5.0016255282967e-05
"85","Condongcatur",3,4,5,84902,0.0465116279069767,1.33333333333333,1.96304759212582e-05
"86","Caturtunggal",2,3,3,62577,0.0348837209302326,1.5,2.39704683829522e-05
