"","desakelurahan","epidemic.wave","week.of.cases","sum.of.cases","pop","frequency.index","duration.index","intensity.index"
"1","Bausasran",7,8,13,6544,0.177777777777778,1.14285714285714,0.000283793223891023
"2","Tegalpanggung",7,8,9,8041,0.177777777777778,1.14285714285714,0.000159894824737506
"3","Suryatmajan",7,8,9,4420,0.177777777777778,1.14285714285714,0.000290885585003232
"4","Sosromenduran",8,16,23,6556,0.355555555555556,2,0.000438529591214155
"5","Pringgokusuman",9,15,19,11252,0.333333333333333,1.66666666666667,0.000187620966149228
"6","Demangan",7,14,20,10932,0.311111111111111,2,0.000261355914484345
"7","Klitren",7,8,11,10693,0.177777777777778,1.14285714285714,0.000146958624467275
"8","Terban",9,14,18,9639,0.311111111111111,1.55555555555556,0.000207490403568835
"9","Kotabaru",2,2,2,2609,0.0444444444444444,1,0.000383288616328095
"10","Baciro",11,18,24,13059,0.4,1.63636363636364,0.000167073909320636
"11","Prawirodirjan",5,9,9,8540,0.2,1.8,0.000210772833723653
"12","Ngupasan",6,9,11,4961,0.2,1.5,0.000369549150036955
"13","Bumijo",11,12,15,9264,0.266666666666667,1.09090909090909,0.000147197362223269
"14","Gowongan",8,11,15,6897,0.244444444444444,1.375,0.000271857329273597
"15","Cokrodiningratan",6,13,14,8141,0.288888888888889,2.16666666666667,0.000286615075952995
"16","Rejowinangun",8,12,19,11900,0.266666666666667,1.5,0.000199579831932773
"17","Prenggan",8,18,33,11081,0.4,2.25,0.00037225882140601
"18","Purbayan",8,16,28,9297,0.355555555555556,2,0.000376465526513929
"19","Panembahan",13,17,23,7593,0.377777777777778,1.30769230769231,0.000233008135023149
"20","Kadipaten",5,5,7,5670,0.111111111111111,1,0.000246913580246914
"21","Patehan",9,11,12,4839,0.244444444444444,1.22222222222222,0.000275539023214163
"22","Suryodiningratan",10,18,25,10583,0.4,1.8,0.000236227912690163
"23","Gedongkiwo",12,23,32,12780,0.511111111111111,1.91666666666667,0.000208659363588941
"24","Mantrijeron",10,16,22,9035,0.355555555555556,1.6,0.00024349750968456
"25","Wirogunan",9,17,22,11332,0.377777777777778,1.88888888888889,0.000215711652351257
"26","Keparakan",6,6,9,9010,0.133333333333333,1,0.000166481687014428
"27","Brontokusuman",13,22,46,10009,0.488888888888889,1.69230769230769,0.000353527978665355
"28","Ngampilan",8,18,27,9172,0.4,2.25,0.000367967727867423
"29","Notoprajan",9,17,18,7739,0.377777777777778,1.88888888888889,0.000258431321876211
"30","Gunungketur",6,7,9,4279,0.155555555555556,1.16666666666667,0.000350549193736854
"31","Purwokinanti",8,18,20,5374,0.4,2.25,0.000465202828433197
"32","Karangwaru",5,10,15,9684,0.222222222222222,2,0.000309789343246592
"33","Kricak",10,17,20,12840,0.377777777777778,1.7,0.000155763239875389
"34","Bener",7,10,17,5094,0.222222222222222,1.42857142857143,0.000476751360143586
"35","Tegalrejo",10,13,15,8567,0.288888888888889,1.3,0.000175090463406093
"36","Pandeyan",9,19,33,14848,0.422222222222222,2.11111111111111,0.00024694683908046
"37","Sorosutan",14,29,61,16591,0.644444444444444,2.07142857142857,0.000262620870179185
"38","Giwangan",7,12,20,8602,0.266666666666667,1.71428571428571,0.000332148669744578
"39","Warungboto",7,11,17,11959,0.244444444444444,1.57142857142857,0.00020307479125106
"40","Mujamuju",14,24,42,11868,0.533333333333333,1.71428571428571,0.000252780586450961
"41","Semaki",6,7,8,5462,0.155555555555556,1.16666666666667,0.000244110826315147
"42","Tahunan",7,12,13,10189,0.266666666666667,1.71428571428571,0.000182269394164575
"43","Patangpuluhan",9,14,24,6395,0.311111111111111,1.55555555555556,0.000416992442011989
"44","Wirobrajan",10,24,37,9580,0.533333333333333,2.4,0.000386221294363257
"45","Pakuncen",11,16,19,9762,0.355555555555556,1.45454545454545,0.000176938406809335
